Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
BUENOS AIRES,Las Flores,Coronel Boerr,6455010,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,El Trigo,6455020,,,,,,,,,,,,,,3,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,Las Flores,6455030,5,,,,2,,,52,,,797,,233,48,,1159,16,,20,,476,,2127,,,,,,,,350,,,,464,,,,,,,,,,,125,,,,,22,,,,,15,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,Pardo,6455040,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Alberdi Viejo,6462010,1,,,,,1,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,El Dorado,6462020,,,1,,,,,,,,,,,68,,,1,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Fortín Acha,6462030,,,,,,,,,,,,,,19,,,1,,,,,,,,,,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi  (Est. Alberdi),6462040,5,,,,,,,,,,457,,,4,,,,,,,,,248,,,,6,,,2,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,6462050,,,,,,,,,,,,,,4,,,136,,,,,,,,,,12,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Vedia,6462060,,,1,,2,,,,,,,,60,,,580,,,44,,185,,,,,,447,,,96,699,,,,,,,,,,,,,,,648,,,,,84,,,,,173,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Arenaza,6469010,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Bayauca,6469020,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Carlos Salas,6469040,,,,,,,,,,,91,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz  (Ap. Kilómetro 322),6469050,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,El Triunfo,6469060,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Las Toscas,6469070,,,,,,247,,,,,23,,,,,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Lincoln,6469080,,,,,3,1,,,,,,,161,,,1,,,,,1357,,19,,,,,,,,496,,,,4,,,,,,29,,,,,3,,,,,,,,,,458,,,,,,,,,,,,,,,,,4017,,,,,,,,,,,,,,,,,,,,,,,,,,3489,,,,,,,,61,,,,,,,,,,,2,,,
BUENOS AIRES,Lincoln,Pasteur,6469090,2,,2,,,,,,,,389,,,37,,26,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Roberts,6469100,,,,,,,,,,,,,,,,,,,,,,,614,,,,,,,,,,,,71,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Licenciado Matienzo,6476020,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Lobería,6476030,15,,,,2,,,,,,279,,86,1,,144,,,278,,270,,592,,,,,,,,821,,,,,,,,,,206,,,,,1,,,,,,,,,,,,,,142,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Pieres,6476040,,,,,,,,,,,7,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,San Manuel,6476050,,,,,,5,,,,,5,,,,,,86,,,,,,35,,,,,,,,,,,,9,,,,,,,,,,,347,,,,,6,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Antonio Carboni,6483010,1,,,,,25,,,,,53,,,,,84,85,,2,,5,,122,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Elvira,6483020,,,,,,,,,,,,,,,,60,2,,2,,3,,66,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Lobos,6483040,1,,,,35,,,,,,,,273,,,1132,87,,63,,275,,1400,,,,,,,,232,,,,74,,,,,,,,,,,3,,,,,2,,,,,469,,,,,,,,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,33,,,,,,,,,,,3,,,
BUENOS AIRES,Lobos,Salvador María,6483050,,,,,,,,,,,87,,,,,193,11,,12,,17,,459,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lomas De Zamora,Banfield,6490010,2,,10,1,22,24,,,,,32,,79,,,40,48,,,,69,,2325,,,,,,,,153,,,,6,,,,,,10,,,,,9795,,,,,,,,,,1110,,,,,,2623,,,,,67,,,,,,5206,,,,,,,,,,18261,,,,,,,,,,,,,,,,22911,,,,,,,,4223,,,,,,,,,,,5224,,,
BUENOS AIRES,Lomas De Zamora,Llavallol,6490010,7,,5,,16,3,,,,,4,,38,,,7,,,,,18,,241,,,,,,,,62,,,,,,,,,,1,,,,,7115,,,,,,,,,,190,,,,,,257,,,,,5,,,,,,1178,,,,,,,,,,1654,,,,,,,,,,,,,,,,2951,,,,,,,,462,,,,,,,,,,,517,,,
BUENOS AIRES,Lomas De Zamora,Lomas De Zamora,6490010,331,1,13,2,37,283,,260,,,122,,143,90,,185,804,,,,124,,1140,,,,,,,,299,,,,96,,,,,,33,,,,,10999,,,,,,,,,,1974,,,,,,790,,,,,36,,,,,,7971,,,,,,,,,,6008,,,,,,,,,,,,,,,,14969,,,,,,,,2110,,,,17,,,,,,,2301,,,
BUENOS AIRES,Lomas De Zamora,Temperley,6490010,,,,2,6,4,,1,,,12,,19,,,10,37,,,,11,,821,,,,,,,,12,,,,3,,,,,,8,,,,,9178,,,,,,,,,,848,,,,,,801,,,,,30,,,,,,4152,,,,,,,,,,5781,,,,,,,,,,,,,,,,10268,,,,,,,,1533,,,,,,,,,,,1766,,,
BUENOS AIRES,Lomas De Zamora,Turdera,6490010,,,4,,12,,,,,,,,15,,,3,1,,,,11,,65,,,,,,,,3,,,,,,,,,,2,,,,,6338,,,,,,,,,,104,,,,,,45,,,,,1,,,,,,584,,,,,,,,,,353,,,,,,,,,,,,,,,,1045,,,,,,,,146,,,,,,,,,,,124,,,
BUENOS AIRES,Lomas De Zamora,Villa Centenario,6490010,,,,,,133,,,,,,,,,,,156,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,1,,,
BUENOS AIRES,Lomas De Zamora,Villa Fiorito,6490010,1,,,,,290,,,,,,,,,,,357,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,82,,,,,,,,,,,2,,,,,,,,,,128,,,,,,,,,,,,,,,,106,,,,,,,,23,,,,,,,,,,,110,,,
BUENOS AIRES,Luján,Barrio Las Casuarinas,6497060,92,,,,,17,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,51,,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Carlos Keen,6497020,,,,,,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Cortines,6497060,205,,,,,16,,11,,,14,,,,,1,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,107,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,José María Jáuregui (Est. Jáuregui),6497060,1415,,,,,8,,12,,,,,,,,17,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,62,,,,,,399,,,,,,,,,,,1305,,,,,,,,,,3,,,,,,107,,,,,,,,,,468,,,,,26,,,50,,,,,,,,,,,6,,,
BUENOS AIRES,Luján,Lezica y Torrezuri,6497060,,,,,,10,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Luján,6497060,2,,5,,149,68,,184,,,65,,1170,,,1,1413,,,,692,,1031,,,,93,,,,497,,,,4102,,,,,,,,,,,677,,,,,6,,,,,4381,,,,,,34,,,,5913,,,,,,,5724,,,,,,,,,,144,,,,,,,,,,,,,,,,2930,,,,,,,,241,,,,,,,,,,,346,,,
BUENOS AIRES,Luján,Olivera,6497070,,,,,,27,,15,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Open Door  (Est. Dr. Domingo Cabred),6497060,,,,,2,19,,14,,,,,27,,,,,,226,,95,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Otros,Sin Datos,,,,,,22,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Torres,6497090,,,,,,16,,6,,,,,5,,,,,,,,12,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,General Mansilla  (Est. Bartolomé Bavio),6505020,423,,,,,,,98,,,15,,,,,,30,,,,,,23,,,,32,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,Magdalena,6505040,,,,,15,88,,2,,,279,,57,,,136,96,,,,213,,412,,,,56,,,,427,,,,,,,,,,2503,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,Vieytes,6505060,,,,,,,,,,,22,,,28,,,37,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Las Armas,6511010,,,,,,54,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Maipú,6511020,1100,,,,,20,,,,,,,35,,,,,,,,189,,,,,,,,,,421,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Santo Domingo,6511030,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,6515010,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,6515010,4,,,,,,,,,,,,,,,539,1,,,,,,1740,,,,,,,,1761,,,,1013,,,,,,2544,,,,,11,,,,,,,,,,822,,,,,,299,,,,,6,,,,,,531,,,,,,,,,,3044,,,,,,,,,,,,,,,,2398,,,,,,,,478,,,,,,,,,,,1033,,,
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,6515010,22,,,,,4,,16,,,74,,,,,4,1,,,,,,85,,,,,,,,,,,,8,,,,,,4,,,,,6,,,,,,,,,,6,,,,,,166,,,,,4,,,,,,34,,,,,,,,,,1512,,,,,,,,,,,,,,,,1233,,,,,,,,223,,,,,,,,,,,459,,,
BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,6515010,6,,,,4,1,,,,,2,,56,,,1,1,,,,18,,483,,,,,,,,352,,,,197,,,,,,404,,,,,11,,,,,,,,,,211,,,,,,151,,,,,4,,,,,,182,,,,,,,,,,1278,,,,,,,,,,,,,,,,1300,,,,,,,,265,,,,,,,,,,1,388,,,
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,6515010,4,,4,1,12,4,,,,,4,,54,,,7,1,,,,72,,154,,,,,,,,80,,,,,,,,,,1,,,,,6016,,,,,,,,,,73,,,,,,275,,,,,10,,,,,,165,,,,,,,,,,2739,,,,,,,,,,,,,,,,2620,,,,,,,,461,,,,30,,,,,,,995,,,
BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,6515010,6,,,,,1,,1,,,8,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,33,,,,,,,,4,,,,,,,,,,,4,,,
BUENOS AIRES,Malvinas Argentinas,Tortuguitas,6515010,127,,1,,,338,,,,,,,,,,1,,,,,,,616,,,,,,,,,,,,71,,,,,,,,,,,27,,,,,,,,,,6163,,,,,,180,,,,,1,,,,,,903,,,,,,,,,,1857,,,,,,,,,,,,,,,,1392,,,,,,,,271,,,,,,,,,,,695,,,
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,6515010,7,,,,,4,,4,,,14,,13,,,3,,,,,5,,75,,,,,,,,4,,,,1,,,,,,,,,,,2576,,,,,,,,,,9,,,,,,165,,,,,2,,,,,,36,,,,,,,,,,1470,,,,,,,,,,,,,,,,1318,,,,,,,,276,,,,,,,,,,,520,,,
BUENOS AIRES,Mar Chiquita,Coronel Vidal,6518010,141,,,,,,,,,,,,2,,,,,,,,,,1495,,,,,,,,62,,,,233,,,,,,15,,,,,51,,,5,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,General Pirán,6518020,513,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,14,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,La Armonía,6518030,,,,,,,,,,,,,,,,,52,,,,5,,29,,,,3,,,,9,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,La Caleta,6518020,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Mar de Cobo,6518050,166,,,,,,,,,,,,25,,,,,,,,83,,1045,,,,,,,,72,,,,139,,,,,,,,,,,87,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,6518060,150,,,,,,,,,,2257,,,,,,1208,,,,,192,,,,,99,,,,,,,,97,,,,,,801,,,,,,,,,,,,,,,602,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Vivoratá,6518070,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Marcos Paz,Marcos Paz,6525020,16,,1,,28,22,,64,,,329,,419,,,205,12,,,,877,,68,,,,,,,,628,5,,,,,,,,38,,,,,,2,,16,,,524,,,25,,438,,,,,,35,,,,,,5283,,,,,22,,,,,,,,,,341,,1038,,,,,,,,,882,,,,,249,24,,,,,,,69,,,,,,,,,,,99,,,
BUENOS AIRES,Mercedes,Gowland,6532010,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mercedes,Jorge Born,6532030,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mercedes,Mercedes,6532020,1,,7,,44,,,102,,,46,,527,,,,215,,970,,400,,731,,,,,,,,256,8,,,2919,,,,,,,,,,,3246,,,,,,,,,,394,,,,,,,,,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,68,,,,,,,,,,,25,,,
BUENOS AIRES,Merlo,Libertad,6539010,14,,1,,4,3,,1587,,,8,,29,,,10,123,,,,39,,347,,,,,,,1,62,,,,11,,,,,,4,,,,,14607,,,,,,,,,,110,,,,,,544,,,,,13,,,,,,373,,,,,,,,,,5218,,,,,,,,,,,,,,,,4776,,,,,,,,1062,,,,,,,,,,,1481,,,
BUENOS AIRES,Merlo,Mariano Acosta,6539010,1,,,,,113,,323,,,846,,,,,493,28,,,,57,,815,,,,,,,,,,,,12,,,,,,,,,,,14,,,,,,,,,,7440,,,,,,426,,,,,2,214,,,,,329,,,,,,,,,,3242,,,,,,,,,,,,,,,,2993,,,,,,,,575,,,,,,,,,,,1029,,,
BUENOS AIRES,Merlo,Merlo,6539010,28,,8,,26,11,,277,,,62,,128,,,390,778,,,,75,,706,,,,,,,,100,,,,31,,,,,,4,,,,,23852,,,,,,,,,,1069,,,,,,1487,,,,,16,7,,,,,2742,,,,,,,,,,13895,,,,,,,,,,,,,,,,15287,,,,,,,,2820,,,,,,,,,,,4011,,,
BUENOS AIRES,Merlo,Otros,Sin Datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Merlo,Pontevedra,6539010,,,,,5,,,,,,,,169,,,2,,,,,249,,174,,,,,,,,1420,,,,,,,,,,1681,,,,,1,,,,,,,,,,598,,,,,,194,,,,585,4,,,,,,78,,,4,,,,,,,1578,,,,,,,,,,,,,,,,1651,,,,,,,,329,,,,,,,,,,,388,,,
BUENOS AIRES,Merlo,San Antonio De Padua,6539010,30,,4,,2,2,,92,,,3,,5,,,4,328,,,,3,,78,,,,,,,3,3,,,,,,,,,,,,,,,6105,,,,,,,,,,177,,,,,,96,,,,,2,,,,,,1770,,,,,,,,,,1467,,,,,,,,,,,,,,,,2708,,,,,,,,498,,,,,,,,,,,581,,,
BUENOS AIRES,Monte,Abbott,6547010,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Monte,San Miguel del Monte  (Est. Monte),6547020,1,,,,,31,,208,,21,,,12,,,783,184,,,,6,,2142,,,,,,,8,29,,,,1084,,,,,,,,,,,,,,,,,,,,,1166,,,,,,,,,,,,,,,,,1348,,,,,,,,,,,,,,,,,,,,,,,,1,,466,,,,,,,,12,16,,,,,,,,,,2,,,
BUENOS AIRES,Monte Hermoso,Balneario Sauce Grande,6553010,,,,,,,,,,,,,,,,,30,,,,,,501,,,,,,,,,,,,47,,,,,,,,,,,98,,,,,97,,,,,47,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Monte Hermoso,Monte Hermoso,6553020,,,,,,,,,,,40,,,,,7,617,,,,,,3576,,,,1,,,,1,,,,449,,,,,,1,,,,,861,,,2,,186,,,,,369,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Moreno,Cuartel V,6560010,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,,,1,,,,,,,,,,804,,,,,,243,,,,,,,,,,,1,,,,,,,,,,560,,,,,,,,,,,,,,,,414,,,,,,,,36,,,,,,,,,,,428,,,
