,Año,Trimestre, Provincia ,Accesos por cada 100 hogares,Año-Trimestre
315,2020,4, Chaco ,"43,03 ",2020-Q4
316,2020,4, Chubut ,"68,35 ",2020-Q4
317,2020,4, Córdoba ,"78,08 ",2020-Q4
318,2020,4, Corrientes ,"42,43 ",2020-Q4
319,2020,4, Entre Ríos ,"59,47 ",2020-Q4
320,2020,4, Formosa ,"32,49 ",2020-Q4
321,2020,4, Jujuy ,"53,46 ",2020-Q4
322,2020,4, La Pampa ,"81,77 ",2020-Q4
323,2020,4, La Rioja ,"50,11 ",2020-Q4
324,2020,4, Mendoza ,"38,63 ",2020-Q4
325,2020,4, Misiones ,"42,64 ",2020-Q4
326,2020,4, Neuquén ,"67,00 ",2020-Q4
327,2020,4, Río Negro ,"61,09 ",2020-Q4
328,2020,4, Salta ,"54,04 ",2020-Q4
329,2020,4, San Juan ,"36,32 ",2020-Q4
330,2020,4, San Luis ,"81,68 ",2020-Q4
331,2020,4, Santa Cruz ,"37,00 ",2020-Q4
332,2020,4, Santa Fe ,"73,58 ",2020-Q4
333,2020,4, Santiago Del Estero ,"43,75 ",2020-Q4
334,2020,4, Tierra Del Fuego ,"76,27 ",2020-Q4
335,2020,4, Tucumán ,"54,78 ",2020-Q4
336,2020,3, Buenos Aires ,"67,66 ",2020-Q3
337,2020,3, Capital Federal ,"107,68 ",2020-Q3
338,2020,3, Catamarca ,"47,16 ",2020-Q3
339,2020,3, Chaco ,"41,54 ",2020-Q3
340,2020,3, Chubut ,"68,34 ",2020-Q3
341,2020,3, Córdoba ,"75,22 ",2020-Q3
342,2020,3, Corrientes ,"41,75 ",2020-Q3
343,2020,3, Entre Ríos ,"58,19 ",2020-Q3
344,2020,3, Formosa ,"31,91 ",2020-Q3
345,2020,3, Jujuy ,"54,04 ",2020-Q3
346,2020,3, La Pampa ,"79,26 ",2020-Q3
347,2020,3, La Rioja ,"50,12 ",2020-Q3
348,2020,3, Mendoza ,"37,35 ",2020-Q3
349,2020,3, Misiones ,"41,60 ",2020-Q3
350,2020,3, Neuquén ,"65,24 ",2020-Q3
351,2020,3, Río Negro ,"57,05 ",2020-Q3
352,2020,3, Salta ,"52,32 ",2020-Q3
353,2020,3, San Juan ,"38,79 ",2020-Q3
354,2020,3, San Luis ,"79,96 ",2020-Q3
355,2020,3, Santa Cruz ,"35,95 ",2020-Q3
356,2020,3, Santa Fe ,"72,12 ",2020-Q3
357,2020,3, Santiago Del Estero ,"43,38 ",2020-Q3
358,2020,3, Tierra Del Fuego ,"76,81 ",2020-Q3
359,2020,3, Tucumán ,"53,23 ",2020-Q3
360,2020,2, Buenos Aires ,"65,22 ",2020-Q2
361,2020,2, Capital Federal ,"106,41 ",2020-Q2
362,2020,2, Catamarca ,"45,43 ",2020-Q2
363,2020,2, Chaco ,"39,83 ",2020-Q2
364,2020,2, Chubut ,"57,34 ",2020-Q2
365,2020,2, Córdoba ,"72,71 ",2020-Q2
366,2020,2, Corrientes ,"40,30 ",2020-Q2
367,2020,2, Entre Ríos ,"56,54 ",2020-Q2
368,2020,2, Formosa ,"31,14 ",2020-Q2
369,2020,2, Jujuy ,"47,89 ",2020-Q2
370,2020,2, La Pampa ,"76,10 ",2020-Q2
371,2020,2, La Rioja ,"49,84 ",2020-Q2
372,2020,2, Mendoza ,"36,25 ",2020-Q2
373,2020,2, Misiones ,"40,89 ",2020-Q2
374,2020,2, Neuquén ,"63,90 ",2020-Q2
375,2020,2, Río Negro ,"56,37 ",2020-Q2
376,2020,2, Salta ,"51,58 ",2020-Q2
377,2020,2, San Juan ,"35,09 ",2020-Q2
378,2020,2, San Luis ,"78,41 ",2020-Q2
379,2020,2, Santa Cruz ,"35,79 ",2020-Q2
380,2020,2, Santa Fe ,"70,00 ",2020-Q2
381,2020,2, Santiago Del Estero ,"43,47 ",2020-Q2
382,2020,2, Tierra Del Fuego ,"76,37 ",2020-Q2
383,2020,2, Tucumán ,"51,78 ",2020-Q2
384,2020,1, Buenos Aires ,"64,33 ",2020-Q1
385,2020,1, Capital Federal ,"105,98 ",2020-Q1
386,2020,1, Catamarca ,"37,62 ",2020-Q1
387,2020,1, Chaco ,"37,48 ",2020-Q1
388,2020,1, Chubut ,"51,27 ",2020-Q1
389,2020,1, Córdoba ,"70,69 ",2020-Q1
390,2020,1, Corrientes ,"38,73 ",2020-Q1
391,2020,1, Entre Ríos ,"56,12 ",2020-Q1
392,2020,1, Formosa ,"30,23 ",2020-Q1
393,2020,1, Jujuy ,"46,67 ",2020-Q1
394,2020,1, La Pampa ,"75,77 ",2020-Q1
395,2020,1, La Rioja ,"46,35 ",2020-Q1
396,2020,1, Mendoza ,"33,14 ",2020-Q1
